Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING

5_h1	tree	5	1	1	3.23943	1	2	((4:0.315262,2:0.315262):0.684738,(3:0.491145,(1:0.433028,5:0.433028):0.0581164):0.508854);
5_h1	tree	5	2	1	3.532	1	2	(((5:0.42289,4:0.42289):0.0901144,3:0.513002):0.486996,(1:0.596112,2:0.596112):0.403886);
5_h1	tree	5	3	1	2.67055	1	2	(((1:0.00433661,3:0.00433661):0.627396,5:0.631732):0.368267,(4:0.0344835,2:0.0344835):0.965515);
5_h1	tree	5	4	1	2.94783	0.999999	2	((4:0.354461,((1:0.268204,2:0.268204):0.0569657,3:0.32517):0.0292923):0.645537,5:0.999998);
5_h1	tree	5	5	1	3.03551	1	2	(2:0.999999,((4:0.0717338,(5:0.0115358,3:0.0115358):0.060198):0.880509,1:0.952241):0.0477571);
5_h1	tree	5	6	1	3.27055	1	2	(((3:0.22353,5:0.22353):0.557209,1:0.780741):0.219259,(2:0.266284,4:0.266284):0.733715);
5_h1	tree	5	7	1	2.36812	1	2	(4:1,(5:0.218969,(2:0.102761,(3:0.0463906,1:0.0463906):0.05637):0.116209):0.781029);
5_h1	tree	5	8	1	2.92407	1	2	(1:1,(((5:0.216715,2:0.216715):0.0760365,4:0.292751):0.121854,3:0.414606):0.585394);
5_h1	tree	5	9	1	3.36511	1	2	((4:0.355574,1:0.355574):0.644425,(2:0.905322,(5:0.104212,3:0.104212):0.801112):0.094676);
5_h1	tree	5	10	1	2.79668	1	2	(4:1,(3:0.682064,(1:0.0703393,(2:0.04428,5:0.04428):0.0260593):0.611726):0.317935);
5_h1	tree	5	11	1	3.2664	1	2	(((2:0.474967,(3:0.0990374,1:0.0990374):0.375929):0.217428,5:0.692396):0.307604,4:0.999999);
5_h1	tree	5	12	1	3.64125	1	2	((2:0.558139,(4:0.4255,5:0.4255):0.132639):0.441861,(1:0.65761,3:0.65761):0.34239);
5_h1	tree	5	13	1	3.80844	1	2	(((5:0.305035,2:0.305035):0.374119,3:0.679154):0.320844,(1:0.824258,4:0.824258):0.175742);
5_h1	tree	5	14	1	3.18451	1	2	((1:0.570673,(4:0.178221,3:0.178221):0.392454):0.429325,(5:0.435622,2:0.435622):0.564376);
5_h1	tree	5	15	1	3.50058	1	2	(((3:0.133855,5:0.133855):0.620145,1:0.754):0.246,(4:0.612723,2:0.612723):0.387277);
5_h1	tree	5	16	1	2.74767	1	2	((1:0.0169041,2:0.0169041):0.983095,((4:0.268391,5:0.268391):0.193985,3:0.462373):0.537625);
5_h1	tree	5	17	1	3.61541	1	2	((5:0.737454,((1:0.20092,3:0.20092):0.476116,2:0.677035):0.0604213):0.262543,4:0.999999);
5_h1	tree	5	18	1	2.98923	1	2	((1:0.114358,3:0.114358):0.885642,(2:0.548835,(4:0.326042,5:0.326042):0.222791):0.451165);
5_h1	tree	5	19	1	3.28481	1	2	(4:0.999999,(3:0.657048,(2:0.535467,(1:0.0922983,5:0.0922983):0.443171):0.12158):0.342951);
5_h1	tree	5	20	1	3.18029	1	2	(5:1,((4:0.121154,3:0.121154):0.632452,(2:0.305526,1:0.305526):0.448081):0.246394);
