Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING

10_h1	tree	6	1	1	3.04404	1	2	((6:0.349584,5:0.349584):0.650416,(1:0.273184,(3:0.255954,(4:0.165318,2:0.165318):0.0906361):0.0172299):0.726816);
10_h1	tree	6	2	1	2.92316	1	2	(3:0.999999,((4:0.117725,2:0.117725):0.562616,((1:0.031602,6:0.031602):0.0618961,5:0.093498):0.586841):0.319659);
10_h1	tree	6	3	1	3.86395	1	2	((4:0.863905,(2:0.40997,6:0.40997):0.453938):0.136092,(5:0.44218,(3:0.147901,1:0.147901):0.294279):0.557818);
10_h1	tree	6	4	1	3.1645	1	2	((6:0.590177,(1:0.138629,4:0.138629):0.451548):0.409823,(2:0.246352,(3:0.189347,5:0.189347):0.0570042):0.753648);
10_h1	tree	6	5	1	3.79461	1	2	(((5:0.18983,1:0.18983):0.655722,(6:0.508022,4:0.508022):0.337528):0.154448,(3:0.251211,2:0.251211):0.748789);
10_h1	tree	6	6	1	3.69954	0.999999	2	(((2:0.520016,4:0.520016):0.00771815,6:0.527735):0.472264,(5:0.461345,(1:0.190442,3:0.190442):0.270903):0.538654);
10_h1	tree	6	7	1	3.22643	1	2	((5:0.250713,((2:0.080348,6:0.080348):0.00861483,4:0.0889628):0.16175):0.749286,(3:0.806409,1:0.806409):0.193591);
10_h1	tree	6	8	1	3.29811	1	2	(((2:0.0869831,6:0.0869831):0.520061,((1:0.0582261,4:0.0582261):0.487629,5:0.545858):0.061188):0.392954,3:0.999999);
10_h1	tree	6	9	1	3.94267	1	2	(1:0.999999,((3:0.41207,(4:0.0982847,5:0.0982847):0.313784):0.559354,(2:0.460893,6:0.460893):0.510528):0.0285756);
10_h1	tree	6	10	1	2.83784	1	2	((6:0.204365,3:0.204365):0.795635,((4:0.202047,(1:0.0604157,2:0.0604157):0.141631):0.168963,5:0.371009):0.62899);
10_h1	tree	6	11	1	4.0043	1	2	((4:0.53881,(3:0.244573,5:0.244573):0.294237):0.46119,((6:0.585361,1:0.585361):0.050198,2:0.635561):0.364439);
10_h1	tree	6	12	1	3.75865	1	2	((2:0.687477,(6:0.514535,(4:0.278926,(1:0.277713,3:0.277713):0.00121343):0.235608):0.172941):0.312523,5:0.999999);
10_h1	tree	6	13	1	2.58843	1	2	(3:1,((6:0.0187759,2:0.0187759):0.288133,(1:0.196711,(5:0.066039,4:0.066039):0.130672):0.110198):0.69309);
10_h1	tree	6	14	1	3.31881	1	2	(((2:0.0752109,6:0.0752109):0.745773,(1:0.140783,3:0.140783):0.680199):0.179016,(5:0.281834,4:0.281834):0.718164);
10_h1	tree	6	15	1	3.11756	0.999999	2	((2:0.431554,(6:0.0477825,1:0.0477825):0.383773):0.568444,(4:0.538309,(5:0.0999195,3:0.0999195):0.438389):0.461689);
10_h1	tree	6	16	1	3.78336	1	2	((4:0.261108,3:0.261108):0.738892,(2:0.792673,(5:0.668444,(1:0.0611334,6:0.0611334):0.607312):0.124229):0.207325);
10_h1	tree	6	17	1	2.91893	1	2	(((3:0.201946,6:0.201946):0.332974,(1:0.100769,(2:0.0813011,5:0.0813011):0.0194682):0.434151):0.46508,4:0.999998);
10_h1	tree	6	18	1	3.17646	1	2	((2:0.224812,1:0.224812):0.775186,((5:0.0429467,4:0.0429467):0.445789,(3:0.419964,6:0.419964):0.0687728):0.511264);
10_h1	tree	6	19	1	3.10089	1	2	(((1:0.308709,5:0.308709):0.161381,(3:0.296184,(2:0.0259059,4:0.0259059):0.270279):0.173906):0.52991,6:1);
10_h1	tree	6	20	1	3.98402	1	2	((6:0.620869,(3:0.33476,1:0.33476):0.286112):0.379128,(2:0.572634,(5:0.45576,4:0.45576):0.116876):0.427363);
